2024-05-28 10:47:06.818 [http-nio-8201-exec-5] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [feign.RetryableException: Read timed out executing GET http://service-cmn/admin/cmn/dict/getName/Hostype/1]
### The error may exist in com/hanson/yygh/hosp/mapper/HospitalSetMapper.java (best guess)
### The error may involve com.hanson.yygh.hosp.mapper.HospitalSetMapper.selectOne
### The error occurred while executing a query
### Cause: org.springframework.jdbc.CannotGetJdbcConnectionException: Failed to obtain JDBC Connection; nested exception is java.sql.SQLTransientConnectionException: HikariPool-2 - Connection is not available, request timed out after 30106ms.]
2024-05-28 19:24:30.092 [http-nio-8201-exec-5] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-2 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@408a86ad (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2024-05-28 19:24:35.101 [http-nio-8201-exec-5] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-2 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@6f84e316 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2024-05-28 19:24:40.117 [http-nio-8201-exec-5] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-2 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@2dd0e489 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2024-05-28 19:24:45.134 [http-nio-8201-exec-5] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-2 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@4d524820 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2024-05-28 22:24:56.162 [http-nio-8201-exec-10] WARN  org.mongodb.driver.connection - Got socket exception on connection [connectionId{localValue:32, serverValue:1090}] to 47.116.123.21:27017. All connections to 47.116.123.21:27017 will be closed.
2024-05-28 22:24:56.162 [http-nio-8201-exec-8] WARN  org.mongodb.driver.connection - Got socket exception on connection [connectionId{localValue:34, serverValue:1091}] to 47.116.123.21:27017. All connections to 47.116.123.21:27017 will be closed.
2024-05-28 22:24:59.021 [http-nio-8201-exec-8] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [feign.RetryableException: Read timed out executing GET http://service-cmn/admin/cmn/dict/getName/Hostype/1]
2024-05-28 22:25:00.229 [http-nio-8201-exec-1] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [feign.RetryableException: Read timed out executing GET http://service-cmn/admin/cmn/dict/getName/Hostype/1]
2024-05-28 22:25:01.757 [http-nio-8201-exec-6] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [java.lang.NullPointerException]
2024-05-28 22:25:06.602 [http-nio-8201-exec-5] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [java.lang.NullPointerException]
2024-05-28 22:26:15.652 [http-nio-8201-exec-8] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-2 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@7803bb37 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2024-05-28 22:26:20.671 [http-nio-8201-exec-8] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-2 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@15440402 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2024-05-28 22:26:25.681 [http-nio-8201-exec-8] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-2 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@3c32c620 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2024-05-28 22:26:30.696 [http-nio-8201-exec-8] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-2 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@8ca8332 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2024-05-28 22:26:35.709 [http-nio-8201-exec-8] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-2 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@137e50ee (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2024-05-28 22:26:40.724 [http-nio-8201-exec-8] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-2 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@2d2cff4f (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2024-05-28 22:26:40.731 [http-nio-8201-exec-8] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [org.mybatis.spring.MyBatisSystemException: nested exception is org.apache.ibatis.exceptions.PersistenceException: 
### Error querying database.  Cause: org.springframework.jdbc.CannotGetJdbcConnectionException: Failed to obtain JDBC Connection; nested exception is java.sql.SQLTransientConnectionException: HikariPool-2 - Connection is not available, request timed out after 30090ms.
### The error may exist in com/hanson/yygh/hosp/mapper/HospitalSetMapper.java (best guess)
### The error may involve com.hanson.yygh.hosp.mapper.HospitalSetMapper.selectOne
### The error occurred while executing a query
### Cause: org.springframework.jdbc.CannotGetJdbcConnectionException: Failed to obtain JDBC Connection; nested exception is java.sql.SQLTransientConnectionException: HikariPool-2 - Connection is not available, request timed out after 30090ms.]
2024-05-28 22:26:57.152 [http-nio-8201-exec-4] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-2 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@3859be4e (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2024-05-28 22:27:02.169 [http-nio-8201-exec-4] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-2 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@216188c1 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2024-05-28 22:27:07.185 [http-nio-8201-exec-4] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-2 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@389e69eb (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2024-05-28 22:27:12.194 [http-nio-8201-exec-4] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-2 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@3fe2fbd3 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2024-05-28 22:34:47.130 [http-nio-8201-exec-1] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [feign.RetryableException: Read timed out executing GET http://service-cmn/admin/cmn/dict/getName/Hostype/1]
2024-05-28 22:34:52.176 [http-nio-8201-exec-8] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [feign.RetryableException: Read timed out executing GET http://service-cmn/admin/cmn/dict/getName/Hostype/1]
2024-05-28 22:35:12.482 [http-nio-8201-exec-5] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-2 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@374e35b3 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2024-05-28 22:35:17.530 [http-nio-8201-exec-5] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-2 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@778af786 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2024-05-28 22:35:22.554 [http-nio-8201-exec-5] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-2 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@6b829848 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2024-05-28 22:35:27.563 [http-nio-8201-exec-5] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-2 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@68fa3eb0 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2024-05-28 22:35:32.569 [http-nio-8201-exec-5] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-2 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@37534373 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2024-05-28 22:35:37.578 [http-nio-8201-exec-5] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-2 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@1d0875cd (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2024-05-28 22:35:37.590 [http-nio-8201-exec-5] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [org.mybatis.spring.MyBatisSystemException: nested exception is org.apache.ibatis.exceptions.PersistenceException: 
### Error querying database.  Cause: org.springframework.jdbc.CannotGetJdbcConnectionException: Failed to obtain JDBC Connection; nested exception is java.sql.SQLTransientConnectionException: HikariPool-2 - Connection is not available, request timed out after 30148ms.
### The error may exist in com/hanson/yygh/hosp/mapper/HospitalSetMapper.java (best guess)
### The error may involve com.hanson.yygh.hosp.mapper.HospitalSetMapper.selectOne
### The error occurred while executing a query
### Cause: org.springframework.jdbc.CannotGetJdbcConnectionException: Failed to obtain JDBC Connection; nested exception is java.sql.SQLTransientConnectionException: HikariPool-2 - Connection is not available, request timed out after 30148ms.]
2024-05-28 22:40:40.314 [http-nio-8201-exec-1] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [org.springframework.data.mongodb.UncategorizedMongoDbException: Timeout while receiving message; nested exception is com.mongodb.MongoSocketReadTimeoutException: Timeout while receiving message]
2024-05-28 22:57:44.416 [http-nio-8201-exec-2] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-2 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@53d38cc8 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2024-05-28 22:57:49.431 [http-nio-8201-exec-2] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-2 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@37acdabd (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2024-05-28 22:57:54.435 [http-nio-8201-exec-2] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-2 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@2bfe02bf (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2024-05-28 22:57:59.451 [http-nio-8201-exec-2] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-2 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@51f6081d (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2024-05-28 22:58:04.465 [http-nio-8201-exec-2] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-2 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@4d3c0333 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2024-05-28 22:58:09.477 [http-nio-8201-exec-2] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-2 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@5e5b820a (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2024-05-28 22:58:09.492 [http-nio-8201-exec-2] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [org.mybatis.spring.MyBatisSystemException: nested exception is org.apache.ibatis.exceptions.PersistenceException: 
### Error querying database.  Cause: org.springframework.jdbc.CannotGetJdbcConnectionException: Failed to obtain JDBC Connection; nested exception is java.sql.SQLTransientConnectionException: HikariPool-2 - Connection is not available, request timed out after 30094ms.
### The error may exist in com/hanson/yygh/hosp/mapper/HospitalSetMapper.java (best guess)
### The error may involve com.hanson.yygh.hosp.mapper.HospitalSetMapper.selectOne
### The error occurred while executing a query
### Cause: org.springframework.jdbc.CannotGetJdbcConnectionException: Failed to obtain JDBC Connection; nested exception is java.sql.SQLTransientConnectionException: HikariPool-2 - Connection is not available, request timed out after 30094ms.]
2024-05-28 23:01:52.171 [http-nio-8201-exec-2] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [feign.RetryableException: Read timed out executing GET http://service-cmn/admin/cmn/dict/getName/Hostype/1]
2024-05-28 23:01:55.808 [http-nio-8201-exec-5] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [feign.RetryableException: Read timed out executing GET http://service-cmn/admin/cmn/dict/getName/Hostype/1]
2024-05-28 23:01:59.945 [http-nio-8201-exec-9] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [feign.RetryableException: Read timed out executing GET http://service-cmn/admin/cmn/dict/getName/Hostype/1]
2024-05-28 23:42:49.452 [http-nio-8201-exec-6] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [feign.RetryableException: Read timed out executing GET http://service-cmn/admin/cmn/dict/getName/Hostype/1]
2024-05-28 23:42:50.160 [http-nio-8201-exec-8] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [feign.RetryableException: Read timed out executing GET http://service-cmn/admin/cmn/dict/getName/Hostype/1]
2024-05-28 23:42:54.481 [http-nio-8201-exec-10] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [feign.RetryableException: Read timed out executing GET http://service-cmn/admin/cmn/dict/getName/Hostype/1]
2024-05-28 23:51:20.222 [http-nio-8201-exec-6] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [feign.RetryableException: Read timed out executing GET http://service-cmn/admin/cmn/dict/getName/Hostype/1]
2024-05-28 23:51:20.530 [http-nio-8201-exec-8] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [feign.RetryableException: Read timed out executing GET http://service-cmn/admin/cmn/dict/getName/Hostype/1]
2024-05-28 23:51:24.748 [http-nio-8201-exec-3] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [feign.RetryableException: Read timed out executing GET http://service-cmn/admin/cmn/dict/getName/Hostype/1]
